yr_sold,mth_sold,day_sold,price,log_price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,Auburn,Beaux Arts Village,Bellevue,Black Diamond,Bothell,Burien,Carnation,Clyde Hill,Covington,Des Moines,Duvall,Enumclaw,Fall City,Federal Way,Issaquah,Kenmore,Kent,Kirkland,Lake Forest Park,Maple Valley,Medina,Mercer Island,Milton,Newcastle,Normandy Park,North Bend,Pacific,Preston,Ravensdale,Redmond,Renton,Sammamish,SeaTac,Seattle,Shoreline,Skykomish,Snoqualmie,Snoqualmie Pass,Tukwila,Vashon,Woodinville,Yarrow Point
2014,5,9,376000.0,12.837344422372032,3,2.0,1340,1384,3.0,0,0,3,1340,0,2008,0,98103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,9,800000.0,13.592367006650065,4,3.25,3540,159430,2.0,0,0,3,3540,0,2007,0,98014,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,9,2238888.0,14.621489871998335,5,6.5,7270,130017,2.0,0,0,3,6420,850,2010,0,98029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,9,324000.0,12.688498794774466,3,2.25,998,904,2.0,0,0,3,798,200,2007,0,98117,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,10,549900.0,13.217491722495906,5,2.75,3060,7015,1.0,0,0,5,1600,1460,1979,0,98146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,10,320000.0,12.676076274775909,3,2.5,2130,6969,2.0,0,0,3,2130,0,2003,0,98038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,10,875000.0,13.681979165339751,4,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007,98103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,10,265000.0,12.487485104968359,4,1.0,1940,9533,1.0,0,0,3,1080,860,1962,2003,98031,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,10,394950.0,12.886514453592564,3,2.5,1350,1250,3.0,0,0,3,1270,80,2006,0,98136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,11,842500.0,13.644128941208654,4,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0,98122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,11,368000.0,12.815838217151068,3,2.5,1370,1350,2.0,0,0,3,1010,360,2007,0,98136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,12,1225000.0,14.018451401960965,4,4.5,5420,101930,1.0,0,0,3,3890,1530,2001,0,98053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,12,885000.0,13.693342923990066,4,2.5,2830,5000,2.0,0,0,3,2830,0,1995,0,98105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2014,5,12,453246.0,13.024190303426474,3,2.5,2010,2287,2.0,0,0,3,1390,620,2014,0,98029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,12,927000.0,13.739708844547993,4,2.75,3300,12090,2.0,0,0,3,3300,0,1953,0,98004,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,5,12,490000.0,13.102160670086809,2,2.5,1230,1391,2.0,0,0,3,870,360,2004,2003,98112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
